step,tr_loss, tr_acc, val_loss, val_acc, time
20, 0.587085, 0.7175, 0.471353, 0.9391, 15.82
40, 0.347129, 0.9425, 0.253239, 0.9336, 20.57
60, 0.196835, 0.9425, 0.149691, 0.9373, 20.27
80, 0.099191, 0.9725, 0.108889, 0.9576, 22.25
100, 0.076863, 0.9725, 0.089492, 0.9686, 20.78
120, 0.096045, 0.9700, 0.076424, 0.9723, 18.06
140, 0.076252, 0.9725, 0.066652, 0.9797, 14.26
160, 0.054594, 0.9875, 0.060445, 0.9815, 19.47
180, 0.073808, 0.9725, 0.050339, 0.9834, 19.71
200, 0.041336, 0.9875, 0.044019, 0.9834, 18.53
220, 0.041381, 0.9850, 0.041249, 0.9834, 16.33
240, 0.049060, 0.9850, 0.036274, 0.9871, 18.20
260, 0.027749, 0.9925, 0.031988, 0.9871, 10.16
280, 0.032885, 0.9900, 0.028013, 0.9889, 20.02
300, 0.022829, 0.9950, 0.024190, 0.9889, 11.59
320, 0.012863, 1.0000, 0.022770, 0.9871, 12.32
340, 0.020594, 0.9975, 0.020581, 0.9889, 17.07
360, 0.010014, 1.0000, 0.019472, 0.9889, 23.37
380, 0.012990, 0.9950, 0.018572, 0.9889, 19.65
400, 0.007293, 1.0000, 0.017500, 0.9926, 17.19
420, 0.007741, 1.0000, 0.016206, 0.9945, 17.91
440, 0.004807, 1.0000, 0.017046, 0.9889, 22.84
460, 0.004157, 1.0000, 0.015436, 0.9945, 14.82
480, 0.018342, 0.9900, 0.013489, 0.9963, 17.72
500, 0.006015, 1.0000, 0.012410, 0.9963, 16.30
520, 0.007501, 0.9975, 0.011902, 0.9963, 17.05
540, 0.004573, 1.0000, 0.011256, 0.9963, 13.67
560, 0.003142, 1.0000, 0.011222, 0.9963, 20.34
580, 0.002545, 1.0000, 0.011293, 0.9963, 23.10
600, 0.002047, 1.0000, 0.011880, 0.9945, 21.95
620, 0.002418, 1.0000, 0.011786, 0.9945, 16.81
640, 0.002975, 1.0000, 0.010636, 0.9963, 22.19
660, 0.002525, 1.0000, 0.010448, 0.9963, 14.33
680, 0.007739, 0.9975, 0.009579, 0.9982, 14.34
700, 0.001617, 1.0000, 0.009182, 0.9982, 22.39
720, 0.001989, 1.0000, 0.009168, 0.9963, 20.37
740, 0.003078, 1.0000, 0.008692, 0.9982, 10.25
760, 0.001354, 1.0000, 0.008508, 0.9982, 15.64
780, 0.001015, 1.0000, 0.008469, 0.9982, 21.52
800, 0.001948, 1.0000, 0.008326, 0.9982, 17.88
820, 0.001524, 1.0000, 0.008281, 0.9982, 23.05
840, 0.000905, 1.0000, 0.008629, 0.9963, 22.52
860, 0.001499, 1.0000, 0.009445, 0.9963, 20.02
880, 0.001042, 1.0000, 0.008131, 0.9963, 19.36
900, 0.001386, 1.0000, 0.008162, 0.9963, 20.62
920, 0.001366, 1.0000, 0.007889, 0.9963, 18.36
940, 0.003727, 0.9975, 0.007494, 0.9982, 18.46
960, 0.000770, 1.0000, 0.007678, 0.9982, 19.27
980, 0.001092, 1.0000, 0.007437, 0.9982, 14.36
1000, 0.001612, 1.0000, 0.007322, 0.9982, 17.45
