step,tr_loss, tr_acc, val_loss, val_acc, time
20, 2.158094, 0.2075, 2.048821, 0.2705, 0.57
40, 1.925282, 0.2825, 1.890629, 0.2705, 0.50
60, 1.899992, 0.2550, 1.825327, 0.2705, 0.52
80, 1.808531, 0.2500, 1.737373, 0.2282, 0.50
100, 1.675529, 0.2775, 1.685878, 0.2282, 0.49
120, 1.670262, 0.2525, 1.641109, 0.1886, 0.50
140, 1.528355, 0.3400, 1.598159, 0.3947, 0.52
160, 1.526950, 0.4475, 1.510798, 0.4351, 0.49
180, 1.477801, 0.4900, 1.418015, 0.5373, 0.51
200, 1.381459, 0.5325, 1.321229, 0.5649, 0.50
220, 1.267145, 0.5750, 1.306819, 0.5327, 0.50
240, 1.311631, 0.5100, 1.253813, 0.5612, 0.50
260, 1.289916, 0.5025, 1.238061, 0.5446, 0.50
280, 1.325461, 0.5175, 1.182598, 0.5695, 0.51
300, 1.173292, 0.5550, 1.159823, 0.6017, 0.51
320, 1.177615, 0.5650, 1.136264, 0.5925, 0.50
340, 1.050973, 0.5850, 1.097357, 0.6017, 0.50
360, 1.185642, 0.5725, 1.063205, 0.5934, 0.50
380, 1.003059, 0.6100, 1.039302, 0.6063, 0.49
400, 1.039887, 0.6400, 1.016167, 0.6017, 0.50
420, 0.958505, 0.6425, 0.986900, 0.6697, 0.50
440, 0.929642, 0.6950, 0.968779, 0.6688, 0.51
460, 1.012571, 0.6250, 0.940081, 0.6909, 0.50
480, 0.920986, 0.6700, 0.926934, 0.6799, 0.50
500, 0.878071, 0.6825, 0.913979, 0.6881, 0.50
520, 0.875676, 0.6725, 0.899874, 0.6854, 0.50
540, 0.866098, 0.6950, 0.882880, 0.6964, 0.52
560, 0.801133, 0.6875, 0.886053, 0.6918, 0.51
580, 0.828688, 0.6700, 0.886649, 0.6707, 0.50
600, 0.791381, 0.7075, 0.862852, 0.6743, 0.50
620, 0.850072, 0.6725, 0.847524, 0.7185, 0.51
640, 0.873613, 0.6825, 0.848266, 0.6946, 0.51
660, 0.891832, 0.6375, 0.835468, 0.7222, 0.52
680, 0.841041, 0.6975, 0.852466, 0.6909, 0.50
700, 0.803857, 0.6900, 0.832951, 0.7240, 0.50
720, 0.746257, 0.7325, 0.837786, 0.7249, 0.50
740, 0.792143, 0.6875, 0.814727, 0.7470, 0.50
760, 0.774579, 0.7350, 0.797147, 0.6992, 0.50
780, 0.833780, 0.6875, 0.813533, 0.7351, 0.50
800, 0.821746, 0.7125, 0.809180, 0.6937, 0.50
820, 0.798368, 0.7075, 0.774554, 0.7378, 0.50
840, 0.742437, 0.7550, 0.783514, 0.7452, 0.50
860, 0.794911, 0.7100, 0.780986, 0.7231, 0.50
880, 0.695817, 0.7475, 0.774966, 0.7378, 0.50
900, 0.663344, 0.7475, 0.754061, 0.7157, 0.50
920, 0.754908, 0.7225, 0.727264, 0.7718, 0.50
940, 0.705624, 0.7300, 0.745770, 0.7608, 0.51
960, 0.674244, 0.7575, 0.729495, 0.7755, 0.50
980, 0.616981, 0.8000, 0.740237, 0.7369, 0.51
1000, 0.820936, 0.7400, 0.708800, 0.7801, 0.50
