step,tr_loss, tr_acc, val_loss, val_acc, time
20, 2.010186, 0.2875, 1.792548, 0.4545, 16.68
40, 1.649286, 0.4850, 1.530869, 0.5115, 16.55
60, 1.380854, 0.5575, 1.295290, 0.6366, 14.10
80, 1.144160, 0.6850, 1.113273, 0.6937, 12.53
100, 1.003084, 0.7050, 0.998714, 0.7010, 10.71
120, 0.966541, 0.6875, 0.913263, 0.7222, 8.22
140, 0.887691, 0.7225, 0.857263, 0.7323, 11.56
160, 0.858857, 0.7275, 0.814449, 0.7452, 9.33
180, 0.727940, 0.7675, 0.784251, 0.7461, 14.14
200, 0.828127, 0.7500, 0.750553, 0.7534, 10.71
220, 0.707186, 0.7650, 0.720838, 0.7672, 13.28
240, 0.655816, 0.7900, 0.702459, 0.7672, 10.78
260, 0.632829, 0.7900, 0.687341, 0.7718, 10.74
280, 0.630138, 0.7900, 0.668977, 0.7663, 13.25
300, 0.636590, 0.7950, 0.651961, 0.7893, 6.46
320, 0.584894, 0.8275, 0.640557, 0.8068, 16.48
340, 0.653512, 0.8075, 0.624026, 0.8096, 14.88
360, 0.538529, 0.8150, 0.619133, 0.7967, 16.75
380, 0.586838, 0.8125, 0.594329, 0.8344, 8.09
400, 0.552799, 0.8500, 0.588797, 0.8335, 8.45
420, 0.541284, 0.8575, 0.572307, 0.8362, 13.19
440, 0.508566, 0.8725, 0.568192, 0.8326, 7.74
460, 0.446992, 0.8850, 0.546300, 0.8427, 13.10
480, 0.502217, 0.8775, 0.530406, 0.8638, 8.27
500, 0.450672, 0.8975, 0.518289, 0.8675, 12.13
520, 0.430409, 0.8875, 0.502240, 0.8648, 13.38
540, 0.418167, 0.9150, 0.498905, 0.8638, 7.45
560, 0.501100, 0.8975, 0.479886, 0.8758, 7.32
580, 0.480117, 0.9050, 0.467468, 0.8767, 14.24
600, 0.365099, 0.9200, 0.455200, 0.8795, 15.21
620, 0.346544, 0.9250, 0.443191, 0.8841, 11.43
640, 0.358466, 0.9200, 0.439001, 0.8767, 15.48
660, 0.376846, 0.9300, 0.424135, 0.8942, 9.32
680, 0.313042, 0.9525, 0.418844, 0.8878, 10.43
700, 0.342285, 0.9050, 0.408009, 0.8951, 12.43
720, 0.270855, 0.9600, 0.397618, 0.9016, 13.88
740, 0.359591, 0.9350, 0.391662, 0.8960, 13.02
760, 0.266989, 0.9600, 0.376241, 0.9117, 9.29
780, 0.264045, 0.9425, 0.376225, 0.9135, 12.75
800, 0.273974, 0.9425, 0.365562, 0.9062, 10.59
820, 0.312163, 0.9450, 0.358793, 0.9126, 15.26
840, 0.267909, 0.9525, 0.346699, 0.9108, 12.36
860, 0.249853, 0.9650, 0.346111, 0.9163, 11.51
880, 0.204931, 0.9775, 0.336119, 0.9043, 17.72
900, 0.222294, 0.9475, 0.332974, 0.9052, 10.58
920, 0.226695, 0.9675, 0.325064, 0.9282, 14.31
940, 0.267244, 0.9550, 0.323503, 0.9172, 12.95
960, 0.231919, 0.9575, 0.317883, 0.9273, 12.83
980, 0.181844, 0.9775, 0.313086, 0.9172, 11.72
1000, 0.197474, 0.9675, 0.297275, 0.9292, 8.89
