step,tr_loss, tr_acc, val_loss, val_acc, time
20, 2.007921, 0.2725, 1.767382, 0.4103, 1.08
40, 1.581409, 0.4175, 1.510114, 0.4673, 1.50
60, 1.304985, 0.6025, 1.294561, 0.5998, 1.49
80, 1.247863, 0.6175, 1.108810, 0.7075, 1.52
100, 1.007442, 0.7250, 0.995864, 0.6780, 1.70
120, 0.900425, 0.7225, 0.889543, 0.7378, 1.27
140, 0.852538, 0.7375, 0.821289, 0.7902, 2.93
160, 0.737003, 0.8100, 0.757280, 0.7718, 1.43
180, 0.679200, 0.8025, 0.696385, 0.8004, 1.24
200, 0.653936, 0.8300, 0.633903, 0.8381, 1.57
220, 0.655075, 0.8275, 0.600853, 0.8381, 1.28
240, 0.581870, 0.8550, 0.557647, 0.8519, 1.17
260, 0.490883, 0.8850, 0.524938, 0.8592, 1.39
280, 0.484757, 0.8925, 0.503384, 0.8776, 1.56
300, 0.396153, 0.9100, 0.471736, 0.8804, 2.27
320, 0.363382, 0.9175, 0.446073, 0.8878, 1.73
340, 0.377263, 0.9200, 0.429169, 0.8905, 1.90
360, 0.334578, 0.9250, 0.412341, 0.9052, 1.10
380, 0.284327, 0.9425, 0.388377, 0.9062, 1.15
400, 0.252104, 0.9450, 0.374607, 0.9172, 1.37
420, 0.283261, 0.9350, 0.365577, 0.9144, 1.36
440, 0.267683, 0.9450, 0.346513, 0.9181, 1.80
460, 0.244867, 0.9450, 0.335829, 0.9209, 1.45
480, 0.249937, 0.9500, 0.325115, 0.9172, 2.00
500, 0.217837, 0.9375, 0.316998, 0.9255, 1.86
520, 0.222181, 0.9475, 0.308936, 0.9190, 1.35
540, 0.191348, 0.9650, 0.298850, 0.9264, 2.00
560, 0.221171, 0.9425, 0.291637, 0.9310, 1.55
580, 0.230936, 0.9475, 0.300202, 0.9282, 1.31
600, 0.192041, 0.9625, 0.280005, 0.9328, 2.73
620, 0.157702, 0.9675, 0.274393, 0.9328, 1.66
640, 0.208005, 0.9475, 0.270839, 0.9264, 1.09
660, 0.166299, 0.9550, 0.262016, 0.9282, 1.49
680, 0.151150, 0.9700, 0.257092, 0.9319, 1.72
700, 0.142944, 0.9725, 0.253754, 0.9328, 1.25
720, 0.198419, 0.9525, 0.248376, 0.9328, 1.87
740, 0.125036, 0.9725, 0.243866, 0.9393, 1.72
760, 0.128547, 0.9725, 0.236863, 0.9328, 1.21
780, 0.131759, 0.9700, 0.237595, 0.9384, 1.53
800, 0.128293, 0.9700, 0.225831, 0.9319, 1.31
820, 0.107220, 0.9750, 0.231080, 0.9347, 1.87
840, 0.090301, 0.9800, 0.228956, 0.9402, 1.19
860, 0.090636, 0.9800, 0.228927, 0.9430, 1.31
880, 0.098718, 0.9850, 0.229369, 0.9310, 1.46
900, 0.082032, 0.9825, 0.221269, 0.9420, 1.70
920, 0.062475, 0.9875, 0.213959, 0.9411, 1.53
940, 0.095834, 0.9800, 0.212473, 0.9365, 1.15
960, 0.065792, 0.9900, 0.210867, 0.9393, 1.69
980, 0.108465, 0.9750, 0.207877, 0.9420, 1.41
1000, 0.119921, 0.9725, 0.219074, 0.9393, 2.96
